hotelid,Hotel Names,category,date,room_rent,lunch,dinner,withbed,without bed,FBD,cake,CLD,FB
HOTEL5303,Pai Vaibhav,Deluxe,19-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,20-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,21-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,22-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,23-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,24-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,25-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,26-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,27-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,28-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,29-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,30-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,31-01-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,01-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,02-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,03-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,04-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,05-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,06-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,07-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,08-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,09-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,10-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,11-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,12-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,13-02-2019,1800,350,350,500,300,0,0,0,0
HOTEL5303,Pai Vaibhav,Deluxe,14-02-2019,1800,350,350,500,300,0,0,0,0
