City name,State code,Arrival/Departure (Y),Sight-seeing(km)
Anamalai Hills,25,,20
Chennai,25,y,35
Chidambaram,25,,10
Coimbatore,25,y,25
Courtallam,25,,20
Cuddalore,25,,25
Dharmapuri,25,,20
Erode,25,,15
Kanchipuram,25,,20
Kanyakumari,25,,10
Kodaikanal,25,,40
Krishnagiri,25,,20
Kumbakonam,25,,20
Madurai,25,y,30
Mahabalipuram,25,,15
Mudumalai Wildlife Sanctuary,25,,20
Nagapatnam,25,,10
Namakkal,25,,10
Ooty,25,,40
Palani,25,,20
Poompuhar,25,,10
Pudukkottai,25,,15
Rameshwaram,25,,20
Salem,25,,25
Sivagangai,25,,25
Swamimalai,25,,10
Tanjore ,25,,20
Theni,25,,25
Tiruchendur,25,,10
Thiruthani,25,,10
Thiruvanamalai,25,,25
Thiruvarur,25,,10
Thoothukudi,25,,10
Tirunelveli,25,,10
Trichy,25,y,30
Velankanni,25,,20
Vellore,25,,25
Virudhu Nagar,25,,20
Yelagiri,25,,30
Yercaud,25,,25
Hyderabad,40,y,30
Warangal,40,,30
Pondicherry,22,,30
Alleppey,13,,10
Athirappalli,13,,25
Cherai Beach,13,,10
Cochin,13,y,35
Kollam,13,,20
Kovalam,13,,25
Kozhikode,13,y,20
Kumarakom,13,,10
Munnar,13,,50
Poovar,13,,10
Thekkady,13,,20
Guruvayur,13,,10
Trivandrum,13,y,25
Varkala,13,,20
Wayanad,13,,25
Aihole,19,,25
Badami,19,,25
Bandipur National Park,19,,25
Banglore,19,y,40
Belgaum,19,,20
Bellary,19,,20
Coorg,19,,25
Dandeli,19,,25
Hampi,19,,25
Hubli,19,,25
Kabini,19,,25
Kodacheri,19,,25
Manglore,19,y,30
Mysore,19,y,25
Shravanabelahola,19,,20
Shimoga,19,,20
Anantapur,2,,20
Bhadrachalam,2,,20
Kurnool,2,,20
Rajahmundry,2,,20
Srisailam,2,,20
Tirupati,2,y,20
Vijayawada,2,y,20
Visakhapatnam,2,y,20
Marari,13,,15
Hassan,19,,15
Pazhamudir Cholai (Madurai),25,,10
Thiruparankundram,25,,10
Aurivelle,22,,20
Ramoji Film City,2,,15
Gangaikondacholapuram,25,,20
Arakuvalley,2,,15
kondapallifort,2,,20
Kuchipudi,2,,20
Prakasamparrage,2,,15
Amaravati,2,,15
Undavalli caves,2,,15
chandragirifort,2,,15
Sri kalahasti,2,,20
Kanipakkam,2,,15
manthralayam,2,,15
belum caves,2,,20
kuttaparthi,2,,20
lepakshi,2,,15
Yanam,22,,25
Sooriyanar Kovil,25,,15
Thingaloor ( Chandran Kovil),25,,15
Vaitheeswaran Kovil ( Mars),25,,15
Tiruvenkadu (Budha - Mercury),25,,15
Alangudi ( Jupiter),25,,15
Kanjhanoor (Sukra - Venus,25,,15
Thirunallar (Shani - Saturn),22,,15
 Thirunageswaram ( Rahu),25,,15
Keezhaperumpallam (Kethu),25,,15
Melmaruvathur,25,,20
Pillayarpatti,25,,20
Karaikudi ( Chettinadu),25,,20
Thiruvanaikaval,25,,20
Vadapalani Murugan Temple,25,,20
Thrissur,13,,20
Valparai,25,,25
Pollachi,25,,20
sholinganallur,25,,20
Udupi,19,,25
Bannanje,33,,25
Malpe Beach,19,,20
St.Marys Island,19,,20
Ampalpady,19,,20
Pajaka,19,,15
Kunjarugiri,19,,15
Saligrama,19,,20
Anegudde,19,,15
kollur,19,,15
Murdeshwar,19,,15
Agumbe,19,,15
Sringeri,19,,15
Kudremugh,19,,15
Kalasa,19,,15
Horanadu,19,,15
Dharmasthala,19,,20
Southadka,19,,15
Subramanya,19,,20
