Hotel ID,Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(05th Nov to 20th Nov),Season2(01st Oct to 10th Dec),Season3(11th Dec  to 20th Dec),Season4 (21th Dec to 23rd Dec),Season 5(24th Dec ),Season 6(25th Dec to 30th Dec ),Season 7 (31st Dec ),Season 8(01st Jan to 10th Jan),Season 9(11th Jan to 31st Mar),Website
HOTEL4731,Dream cochin,"Sahodaran Ayyappan Road, Ernakulam Junction, Kadavanthara, Ernakulam, Kochi, Kerala 682020 Phone:0484 412 9999",47,4*,Deluxe\Club\Deluxe Suite\Club Suite\Dream Suite\Presidental Suite,650\650\650\650\650\650\650\650\650,650\650\650\650\1\650\1\650\650,1000\1000\1000\1000\4000\1000\4000\1000\1000,650\650\650\650\650\650\650\650\650,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\5000\6000\7000\17000\24000\0\0\0,4500\5500\6500\7500\17000\24000\0\0\0,4500\5500\6500\7500\17000\24000\0\0\0,4500\5500\6500\7500\17000\24000\0\0\0,12500\13500\14500\15500\25000\32000\0\0\0,4500\5500\6500\7500\17000\24000\0\0\0,12500\13500\14500\15500\25000\32000\0\0\0,4500\5500\6500\7500\17000\24000\0\0\0,4500\5500\6500\7500\17000\24000\0\0\0,www.dreamhotels.com
HOTEL4732,Travancore Court," Warriam Road,, Pallimukku, Ernakulam, Kerala 682016 Phone:0484 235 1120",47,4*,Deluxe\Suite\Executive Suite,495\495\495\495\495\495\495\495\495,495\495\495\495\495\495\495\495\495,950\950\950\950\950\950\950\950\950,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,www.travancorecourt.com
HOTEL4733,Abad Plaza,"Near Central square mall, Mahatma Gandhi Road, Cochin, Kerala 682035 Phone:0484 414 4000",47,3*,Superior\Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\1\450\1\450\450,750\750\750\750\1000\750\1250\750\750,250\250\250\250\250\250\250\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,5000\6000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,5500\6500\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,www.abadhotels.com
HOTEL4734,Abad Atrium,"Mahatma Gandhi Rd, Near Central square mall, Ernakulam, Kerala 682035 Phone:0484 414 4000",47,3*,Superior\Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\1\450\1\450\450,750\750\750\750\1000\750\1250\750\750,250\250\250\250\250\250\250\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,5000\6000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,5500\6500\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,3000\4000\0\0\0\0\0\0\0,www.abadhotels.com
HOTEL4735,Hotel Elite Palazzo," NH47, Angamaly, Kerala 683572 Phone:0484 245 2191",47,3*,Deluxe\Executive\Suite,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2900\4000\0\0\0\0\0\0\0,2000\2900\4000\0\0\0\0\0\0\0,2000\2900\4000\0\0\0\0\0\0\0,2000\2900\4000\0\0\0\0\0\0\0,2000\2900\4000\0\0\0\0\0\0\0,2000\2900\4000\0\0\0\0\0\0\0,2000\2900\4000\0\0\0\0\0\0\0,2000\2900\4000\0\0\0\0\0\0\0,2000\2900\4000\0\0\0\0\0\0\0,www.hotelsinkochi.co.in
HOTEL4736,Hotel Seaport,"Seaport Hotels Cochin Pvt. Ltd. Thekkanmalippuram, Azheekal Vypeen, Kochi - 682508 Vypeen, Kochi - 682508 ,Tel : +91 484 3981900 to 998, 2503757Kerala, India.",47,3*,Executive\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,800\800\800\800\800\800\800\800\800,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1800\3000\0\0\0\0\0\0\0,1800\3000\0\0\0\0\0\0\0,1800\3000\0\0\0\0\0\0\0,1800\3000\0\0\0\0\0\0\0,1800\3000\0\0\0\0\0\0\0,1800\3000\0\0\0\0\0\0\0,1800\3000\0\0\0\0\0\0\0,1800\3000\0\0\0\0\0\0\0,1800\3000\0\0\0\0\0\0\0,www.cochinseaporthotel.com
HOTEL4737,Hotel Presidency,"Paramara Rd, Kacheripady, Kochi, Kerala 682018 Phone:0484 239 4300",47,3*,Tower\Deluxe\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,900\900\900\900\900\900\900\900\900,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2450\2850\4050\0\0\0\0\0\0,2450\2850\4050\0\0\0\0\0\0,2450\2850\4050\0\0\0\0\0\0,2450\2850\4050\0\0\0\0\0\0,2450\2850\4050\0\0\0\0\0\0,2450\2850\4050\0\0\0\0\0\0,2450\2850\4050\0\0\0\0\0\0,2450\2850\4050\0\0\0\0\0\0,2450\2850\4050\0\0\0\0\0\0,www.presidencyhotel.com
HOTEL4738,The Dunes,"Off M.G.Road, Doraiswamy Iyer Rd, Shenoys, Kochi, Kerala 682035, Phone:0484 238 4030",47,3*,Deluxe\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,900\900\900\900\900\900\900\900\900,200\200\200\200\200\200\200\200\200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3200\5200\0\0\0\0\0\0\0,3200\5200\0\0\0\0\0\0\0,3200\5200\0\0\0\0\0\0\0,3200\5200\0\0\0\0\0\0\0,3200\5200\0\0\0\0\0\0\0,3200\5200\0\0\0\0\0\0\0,3200\5200\0\0\0\0\0\0\0,3200\5200\0\0\0\0\0\0\0,3200\5200\0\0\0\0\0\0\0,www.duneshotels.com
HOTEL4739,Hotel Abaam,"1. Opposite Vyttila Mobility Hub, Kaniampuzha road, Vyttila, Kochi, Kerala 682019, Phone:0484 290 3300",47,3*,Emerald\Sapphire,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,800\800\800\800\800\0\0\0\0,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,www.abaamhotels.com
HOTEL4740,Amrutha International,"St Benedict Rd, Kacheripady, Ernakulam, Kerala 682018",47,2* ,Deluxe,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,600\600\600\600\600\600\600\600\600,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,www.indiahotelplus.com/hotels/amrutha-international
HOTEL4741,Sealord Cochin,"Shanmugham Road, Kochi, Kerala 682031, Phone:0484 238 2472",47,2* ,Standard,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,www.sealordhotels.com
HOTEL4742,Diwans Court,"Divans Road, Pallimukku, Near Laxmi Hospital, Near Medical Trust Hospital, Ernakulam, Kochi, Kerala 682016, Phone:0484 403 4068",47,2* ,Standard,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,www.sealordhotels.com
HOTEL4743,Hotel Aiswarya,"aWarriam Road, Cochin - 682016. Ph: +91 484 2364454,2364452",47,2* ,Executive\Suite,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,700\700\700\700\700\700\700\700\700,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\3000\0\0\0\0\0\0\0,2200\3000\0\0\0\0\0\0\0,2200\3000\0\0\0\0\0\0\0,2200\3000\0\0\0\0\0\0\0,2200\3000\0\0\0\0\0\0\0,2200\3000\0\0\0\0\0\0\0,2200\3000\0\0\0\0\0\0\0,2200\3000\0\0\0\0\0\0\0,2200\3000\0\0\0\0\0\0\0,www.aiswaryahotels.com
HOTEL4744,Cherai Beach Resort," Cherai Beach Road, Vypin Island, Cochin, Kerala 683514, Phone:0484 248 1818",46,3*,Fishermen Villa AC\Fishermen Villa Non AC\Heritage Villa Non AC (4 Bedded)\Sunrise Villa\Garden Villa\Doctors Villa\Doctors Premium Villa\Doctors Premium Famil Villa (02 B/R)\Club Villa\Pool Villa,400\400\400\400\400\400\400\400\400,400\400\400\400\1\400\1\400\400,800\800\800\800\1500\800\2000\800\800,800\800\800\800\1500\800\2000\800\800,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,5277/3118/3232/5277/4797/3838/4797/6236/3838/11512,5277/3118/3232/5277/4797/3838/4797/6236/3838/11512,6715\4078\4797\6715\5756\4797\5756\7195\4797\14390,6715\4078\4797\6715\5756\4797\5756\7195\4797\14390,9715\7078\7797\9715\8756\7797\8756\10195\7797\17390,6715\4078\4797\6715\5756\4797\5756\7195\4797\14390,10715\8078\8797\10715\9756\8797\9756\11195\8797\18390,6715\4078\4797\6715\5756\4797\5756\7195\4797\14390,6715\4078\4797\6715\5756\4797\5756\7195\4797\14390,www.cheraibeachresorts.com
HOTEL4745,Blue Water Cherai,"1. Beach Rd, Cherai, Kochi, Kerala 683514, Phone:0484 241 8000",46,3*,Superior\Deluxe\Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\1\500\1\500\500,800\800\800\800\900\800\1500\800\800,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,3300\3800\4500\0\0\0\0\0\0,3300\3800\4500\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,5800\6300\7800\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,7000\7500\9000\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,3300\3800\4500\0\0\0\0\0\0,www.bluewaterscherai.in
HOTEL4746,Kanoos Residency,"19/20, East Nada, Guruvayoor, Thrissur, Kerala 680101, Phone:0487 255 1800",55,3*,Superior\Deluxe\Colossal Suite (06 bedded)\Executive Suite\Presidential Suite,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,967\967\967\967\967\967\967\967\967,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,2956\3975\6626\7441\9989\0\0\0\0,2805\3772\6287\7061\9478\0\0\0\0,2805\3772\6287\7061\9478\0\0\0\0,2805\3772\6287\7061\9478\0\0\0\0,2805\3772\6287\7061\9478\0\0\0\0,2805\3772\6287\7061\9478\0\0\0\0,2805\3772\6287\7061\9478\0\0\0\0,2805\3772\6287\7061\9478\0\0\0\0,2805\3772\6287\7061\9478\0\0\0\0,www.kanoosresidency.com
HOTEL4747,Vishnu Inn,"Near Merchant Association Office, Inner Ring Rd, East Nada, Guruvayoor, Kerala 680101,Phone:0487 255 7275",55,3*,Standard\Deluxe\Suite,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,790\790\790\790\790\790\790\790\790,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,2235\2569\3597\0\0\0\0\0\0,2235\2569\3597\0\0\0\0\0\0,2235\2569\3597\0\0\0\0\0\0,2235\2569\3597\0\0\0\0\0\0,2235\2569\3597\0\0\0\0\0\0,2235\2569\3597\0\0\0\0\0\0,2235\2569\3597\0\0\0\0\0\0,2235\2569\3597\0\0\0\0\0\0,2235\2569\3597\0\0\0\0\0\0,www.vishnuinn.com
HOTEL4749,Nature Zone Resort,"Munnar -Udumalpet Road, Pulippara, Pallivasal, Munnar, Kerala 685612, Phone:097454 33330",52,3*,African Safari Tent (MAP)\Tree House (MAP),500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1500\1500\1500\2000\3500\2000\4000\2000\1500,1000\1000\1000\1000\1750\1000\2000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,6000\8500\0\0\0\0\0\0\0,6000\8500\0\0\0\0\0\0\0,6000\8500\0\0\0\0\0\0\0,7500\10500\0\0\0\0\0\0\0,10500\13500\0\0\0\0\0\0\0,7500\10500\0\0\0\0\0\0\0,11500\14500\0\0\0\0\0\0\0,7500\10500\0\0\0\0\0\0\0,6000\8500\0\0\0\0\0\0\0,www.naturezoneresort.com
HOTEL4751,Bellmount Resort," NH Road, Central Munnar,, Kerala 685612, Phone:094955 41212",52,2* ,Deluxe\Super Deluxe\Galaxy,350\350\350\350\350\350\350\350\350,350\350\350\350\1\350\1\350\350,600\600\600\600\1850\600\1850\600\600,300\300\300\300\1550\300\1550\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,3200\3700\4200\0\0\0\0\0\0,2200\2700\3200\0\0\0\0\0\0,3200\3700\4200\0\0\0\0\0\0,3200\3700\4200\0\0\0\0\0\0,5700\6200\6700\0\0\0\0\0\0,3200\3700\4200\0\0\0\0\0\0,5700\6200\6700\0\0\0\0\0\0,3200\3700\4200\0\0\0\0\0\0,2200\2700\3200\0\0\0\0\0\0,www.bellmountmunnar.in
