Hotel Id,Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep,Season2(01st Oct to 24th Oct) ,Season3(25th Oct to 10th Nov),Season4(11th Nov to 19th Dec) ,Season5(20th Dec to 23rd Dec),Season6(24th Dec),Season7(25th Dec to 30th Dec),Season8(31st Dec),Season9(1st Jan to 10 Jan),website
HOTEL4731,Accord Metropolitan hotel,"Reservations,The Accord Metropolitan G N Chetty Road T- Nagar,Chennai 600 017,Call : +91-44-2816 1000 / 4391 1000,Fax : +91-44-2816 1001",2,4STAR,Superior,1100\1100\1100\1100\1100\1100\1100\1100\1100,1100\1100\1100\1100\1100\1100\1100\1100\1100,1000\1000\1000\1000\1000\1000\1000\1000\1000,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6000\0\0\0\0\0\0\0\0,6000\0\0\0\0\0\0\0\0,6000\0\0\0\0\0\0\0\0,6000\0\0\0\0\0\0\0\0,6000\0\0\0\0\0\0\0\0,6000\0\0\0\0\0\0\0\0,6000\0\0\0\0\0\0\0\0,6000\0\0\0\0\0\0\0\0,6000\0\0\0\0\0\0\0\0,chennai.theaccordhotels.com
HOTEL4732,The Iris Hotel,"No 2, Dr. Thomas Street, T.Nagar, Chennai, Tamil Nadu 600017 Phone: 044 4930 0300",2,3STAR,Studio\Executive\Presidential,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,800\800\800\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\3300\4500\0\0\0\0\0\0,2800\3300\4500\0\0\0\0\0\0,2800\3300\4500\0\0\0\0\0\0,2800\3300\4500\0\0\0\0\0\0,2800\3300\4500\0\0\0\0\0\0,2800\3300\4500\0\0\0\0\0\0,2800\3300\4500\0\0\0\0\0\0,2800\3300\4500\0\0\0\0\0\0,2800\3300\4500\0\0\0\0\0\0,www.theirischennai.com
HOTEL4733,Benzz Park,"62, Thirumalai Pillai Lane, Thiyagaraya Nagar,Parthasarathy Puram,, Chennai, Tamil Nadu 600017  Phone: 044 4218 9999",2,3STAR,Executive ,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,1000\1000\1000\1000\1000\1000\1000\1000\1000,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3300\0\0\0\0\0\0\0\0,3300\0\0\0\0\0\0\0\0,3300\0\0\0\0\0\0\0\0,3300\0\0\0\0\0\0\0\0,3300\0\0\0\0\0\0\0\0,3300\0\0\0\0\0\0\0\0,3300\0\0\0\0\0\0\0\0,3300\0\0\0\0\0\0\0\0,3300\0\0\0\0\0\0\0\0,www.benzzpark.com
HOTEL4735,Hotel Emerald,"#1, First Main Road, Jayanagar, Tambaram Sanatorium, Chennai, Tamil Nadu 600047    Phone: 044 4398 9595",2,3STAR,Deluxe\Executive \Suite ,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,900\900\900\900\900\900\900\900\900,900\900\900\900\900\900\900\900\900,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500 \2500 \4600\0\0\0\0\0\0,2500 \2500 \4600\0\0\0\0\0\0,2500 \2500 \4600\0\0\0\0\0\0,2500 \2500 \4600\0\0\0\0\0\0,2500 \2500 \4600\0\0\0\0\0\0,2500 \2500 \4600\0\0\0\0\0\0,2500 \2500 \4600\0\0\0\0\0\0,2500 \2500 \4600\0\0\0\0\0\0,2500 \2500 \4600\0\0\0\0\0\0,www.hotelemeraldpark.com
HOTEL4736,Vijay Park Inn,"101, Senguptha Street, Ram Nagar, Coimbatore, Tamil Nadu 641009  Phone:073738 50000",4,3STAR,Deluxe Double \Executive Double \Suite Double \King Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,563\563\563\563\563\563\563\563\563,563\563\563\563\563\563\563\563\563,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2717\3062\3952\4446\0\0\0\0\0,2717\3062\3952\4446\0\0\0\0\0,2717\3062\3952\4446\0\0\0\0\0,2717\3062\3952\4446\0\0\0\0\0,2717\3062\3952\4446\0\0\0\0\0,2717\3062\3952\4446\0\0\0\0\0,2717\3062\3952\4446\0\0\0\0\0,2717\3062\3952\4446\0\0\0\0\0,2717\3062\3952\4446\0\0\0\0\0,www.vijayparkinn.com
HOTEL4741,Hotel Astoria,"No.65, 70 Feet Road,Ellis Nagar, Madurai, Tamil Nadu 625016, Phone:0452 260 0071",14,3STAR,Deluxe Ac Room,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,750\750\750\750\750\750\750\750\750,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,www.astoriahotels.in
HOTEL4742,Poppys Hotel,"122, Airport – Mattuthavani Ring Road, Near Meenakshi Mission Hospital, Madurai, Tamil Nadu 625107, Phone:0452 421 0411",14,4STAR,Executive Ac Room ,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,1000\1000\1000\1000\1000\1000\1000\1000\1000,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,www.poppyshotelmadurai.in
HOTEL4743,JC residency,"Madurai, Tamil Nadu, Phone:0452 420 038",14,4STAR,Executive Ac Room \Royal Suite,550\550\550\550\550\550\550\550\550,550\550\550\550\550\550\550\550\550,1010\1010\1010\1010\1010\1010\1010\1010\1010,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,www.jcresidency.com
HOTEL4745,STAR Residency,"
 No 43 & 44, Collector Office Road, Near Anna Bus Stand, Madurai, Tamil Nadu 625020,Phone: 0452 434 3999",14,3STAR,Premium\Executive,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,800\800\800\800\800\800\800\800\800,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,www.starresidencyhotels.com
HOTEL4746,SRM hotel,"Race Course Road, Khajamalai, Tiruchirappalli, Tamil Nadu 620023  Phone:0431 242 1303

  ",35,3STAR,Executive Room\ Business Class ,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\3500\0\0\0\0\0\0\0,2500\3500\0\0\0\0\0\0\0,2500\3500\0\0\0\0\0\0\0,2500\3500\0\0\0\0\0\0\0,2500\3500\0\0\0\0\0\0\0,2500\3500\0\0\0\0\0\0\0,2500\3500\0\0\0\0\0\0\0,2500\3500\0\0\0\0\0\0\0,2500\3500\0\0\0\0\0\0\0,srmhotels.com
