Hotel_id,Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(18th March to 14th April),Season2(15th April to 30th April),Season3(01st May to 31st May),Season4 (01st Jun to 14th Jun),Season 5(15th Jun 30th Jun),Season 6(01st Jul to 31st Jul ),Season 7 (01st Aug to 15 Aug),Season 8(16th Aug to 10th Sep),Season 9(11st Sep to 30th Sep),
HOTEL5035,Ramada Resort,"P V Sreedharan Road, Kumbalam, Cochin, Kerala 682506 Phone: 0484 301 1100",47,4STAR,Superior\Luxury\Luxury Lake View\Lake Facing Cottage\Junior Suite\Presidential Suite,975\957\975\975\975\975\975\975\975,975\957\975\975\975\975\975\975\975,1600\1600\1600\1600\1600\1600\1600\1600\1600,850\850\850\850\850\850\850\850\850,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1500\1500\1500\1500\1500\1500\1500\1500\1500,1000\1000\1000\1000\1000\1000\1000\1000\1000,6650\7150\10750\10750\23250\45600,6650\7150\10750\10750\23250\45600,6650\7150\10750\10750\23250\45600,6650\7150\10750\10750\23250\45600,6650\7150\10750\10750\23250\45600,7315\7865\10750\10750\23250\45600,7315\7865\10750\10750\23250\45600,7315\7865\10750\10750\23250\45600,7315\7865\10750\10750\23250\45600,
HOTEL5036,Radisson Blu,"Sahodaran Ayyappan Rd, Elamkulam, Ernakulam, Kerala 682020 Phone: 0484 412 9999",47,4STAR,Superior\Business Class\Deluxe Suite\Club Suite\Executive Suite\Presidential Suite,800\800\800\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1500\1500\1500\1500\1500\1500\1500\1500\1500,1000\1000\1000\1000\1000\1000\1000\1000\1000,4500\6500\7500\8500\17000\24000,4500\6500\7500\8500\17000\24000,4500\6500\7500\8500\17000\24000,4500\6500\7500\8500\17000\24000,4500\6500\7500\8500\17000\24000,4500\6500\7500\8500\17000\24000,4500\6500\7500\8500\17000\24000,4500\6500\7500\8500\17000\24000,4500\6500\7500\8500\17000\24000,
HOTEL5037,Travancore Court," Warriam Road,, Pallimukku, Ernakulam, Kerala 682016 Phone:0484 235 1120",47,4STAR,Deluxe\Suite\Executive Suite,495\495\495\495\495\495\495\495\495,495\495\495\495\495\495\495\495\495,950\950\950\950\950\950\950\950\950,550\550\550\550\550\550\550\550\550,7000\7000\7000\7000\7000\7000\7000\7000\7000,0\0\0\0\0\0\0\0\0,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,3100\4800\5000,3100\4800\5000,3100\4800\5000,3100\4800\5000,3100\4800\5000,3100\4800\5000,3100\4800\5000,3100\4800\5000,3100\4800\5000,
HOTEL5038,Abad Plaza,"Near Central square mall, Mahatma Gandhi Road, Cochin, Kerala 682035 Phone:0484 414 4000",47,3STAR,Superior\Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,750\750\750\750\750\750\750\750\750,250\250\250\250\250\250\250\250\250,1000\1000\1000\1000\1000\1000\1000\1000\1000,250\250\250\250\250\250\250\250\250,750\750\750\750\750\750\750\750\750,650\650\650\650\650\650\650\650\650,2700\3700,2700\3700,2700\3700,2700\3700,2700\3700,2700\3700,2700\3700,2700\3700,2700\3700,
HOTEL5039,Abad Atrium,"Mahatma Gandhi Rd, Near Central square mall, Ernakulam, Kerala 682035 Phone:0484 414 4000",47,3STAR,Superior\Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,750\750\750\750\750\750\750\750\750,250\250\250\250\250\250\250\250\250,1000\1000\1000\1000\1000\1000\1000\1000\1000,250\250\250\250\250\250\250\250\250,750\750\750\750\750\750\750\750\750,0\0\0\0\0\0\0\0\0,2850\3850,2850\3850,2850\3850,2850\3850,2850\3850,2850\3850,2850\3850,2850\3850,2850\3850,
HOTEL5040,Hotel Elite Palazzo," NH47, Angamaly, Kerala 683572 Phone:0484 245 2191",47,3STAR,Deluxe\Executive\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,800\800\800\800\800\800\800\800\800,450\450\450\450\450\450\450\450\450,1800\1800\1800\1800\1800\1800\1800\1800\1800,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,500\500\500\500\500\500\500\500\500,2100\3500\4500,2100\3500\4500,2100\3500\4500,2100\3500\4500,2100\3500\4500,2100\3500\4500,2100\3500\4500,2100\3500\4500,2100\3500\4500,
HOTEL5041,Seaport,"Seaport Hotels Cochin Pvt. Ltd. Thekkanmalippuram, Azheekal Vypeen, Kochi - 682508 Vypeen, Kochi - 682508 ,Tel : +91 484 3981900 to 998, 2503757Kerala, India.",47,3STAR,Executive\Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,1000\1000\1000\1000\1000\1000\1000\1000\1000,700\700\700\700\700\700\700\700\700,1000\1000\1000\1000\1000\1000\1000\1000\1000,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,2500\5000,2500\5000,2500\5000,2500\5000,2500\5000,2500\5000,2500\5000,2500\5000,2500\5000,
HOTEL5042,Hotel Presidency,"Paramara Rd, Kacheripady, Kochi, Kerala 682018 Phone:0484 239 4300",47,3STAR,Tower\Deluxe\Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,750\750\750\750\750\750\750\750\750,450\450\450\450\450\450\450\450\450,1000\1000\1000\1000\1000\1000\1000\1000\1000,1000\1000\1000\1000\1000\1000\1000\1000\1000,850\850\850\850\850\850\850\850\850,600\600\600\600\600\600\600\600\600,2200\2600\4000,2200\2600\4000,2200\2600\4000,2200\2600\4000,2200\2600\4000,2200\2600\4000,2200\2600\4000,2200\2600\4000,2200\2600\4000,
HOTEL5043,The Dunes,"Off M.G.Road, Doraiswamy Iyer Rd, Shenoys, Kochi, Kerala 682035, Phone:0484 238 4030",47,3STAR,Deluxe\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,900\900\900\900\900\900\900\900\900,300\300\300\300\300\300\300\300\300,900\900\900\900\900\900\900\900\900,1500\1500\1500\1500\1500\1500\1500\1500\1500,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,2700\5200\8500,2700\5200\8500,2700\5200\8500,2700\5200\8500,2700\5200\8500,2700\5200\8500,2700\5200\8500,2700\5200\8500,2700\5200\8500,
HOTEL5044,Hotel Abaam,"1. Opposite Vyttila Mobility Hub, Kaniampuzha road, Vyttila, Kochi, Kerala 682019, Phone:0484 290 3300",47,3STAR,Emerald\Sapphire,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,900\900\900\900\900\900\900\900\900,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,600\600\600\600\600\600\600\600\600,500\500\500\500\500\500\500\500\500,2700\4200,2700\4200,2700\4200,2700\4200,2700\4200,2700\4200,2700\4200,2700\4200,2700\4200,
HOTEL5045,Abad Fort Kochi,"Moulana Azad Rd, Panayappilly, Chullickal, Fort Cochin, Kochi, Kerala 682005 Phone: 0484 414 8888",47,3STAR,Deluxe,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,500\500\500\500\500\500\500\500\500,200\200\200\200\200\200\200\200\200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,600\600\600\600\600\600\600\600\600,500\500\500\500\500\500\500\500\500,1850,1850,1850,1850,1850,1850,1850,1850,1850,
HOTEL5046,Hotel Aiswarya," Opposite Lotus Club, Warriam Road, Jose Junction, Kochi, Kerala 682016 Phone: 0484 236 4454",47,3STAR,Executive Deluxe\Suite,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,600\600\600\600\600\600\600\600\600,350\350\350\350\350\350\350\350\350,750\750\750\750\750\750\750\750\750,950\950\950\950\950\950\950\950\950,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,2200\2900,2200\2900,2200\2900,2200\2900,2200\2900,2200\2900,2200\2900,2200\2900,2200\2900,
HOTEL5047,Vrindavan Retreat,Near airport cochin,47,3STAR,Deluxe\Premium\Family Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1500\1500\1500\1500\1500\1500\1500\1500\1500,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2300\3500\6000,2300\3500\6000,2300\3500\6000,2300\3500\6000,2300\3500\6000,2300\3500\6000,2300\3500\6000,2300\3500\6000,2300\3500\6000,
HOTEL5050,Blue Water Cherai,"Beach Rd, Cherai, Kochi, Kerala 683514 Phone: 0484 241 8000",47,3STAR,Superior\Deluxe\Suite,650\650\650\650\650\650\650\650\650,650\650\650\650\650\650\650\650\650,900\900\900\900\900\900\900\900\900,500\500\500\500\500\500\500\500\500,1200\1200\1200\1200\1200\1200\1200\1200\1200,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,500\500\500\500\500\500\500\500\500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,
HOTEL5052,Sealord Cochin,"Shanmugham Road, Kochi, Kerala 682031, Phone:0484 238 2472",47,2STAR,Standard,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,800\800\800\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1600,1600,1600,1600,1600,1600,1600,1600,1600,
HOTEL5053,Diwans Court,"Divans Road, Pallimukku, Near Laxmi Hospital, Near Medical Trust Hospital, Ernakulam, Kochi, Kerala 682016, Phone:0484 403 4068",47,2STAR,Standard,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,800\800\800\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1500,1500,1500,1400,1400,1400,1400,1400,1400,
HOTEL5056,Laspalms Munnar,"NH 49, Devikulam P. O, Munnar, Idukki, Munnar, Keral",52,2STAR,Standard,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,800\800\800\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1900,1900,1900,1700,1700,1700,1700,1700,1700,
