Spot_name,City,State,Timings,Video link,Description
Taj Mahal,173,25,07:00 am - 08:00 pm (Friday holiday),https://www.youtube.com/watch?v=ziVgeMIJdyg,"                  Madurai """"is"""" Known as Athens of the East, Madurai is a place of great historical and cultural importance. It is the oldest city in Tamil Nadu and Madurai lies on the banks of the River Vaigai. Madurai is one of the liveliest cities in South India it was originally known as Kadambavanam or the ""forest of Kadamba"" or theNauclea kadamba. 

                  Legend says that Lord Shiva appeared in the dream on the king, Kulasekhara Pandya. The king was amazed to see drops of nectar or madhu falling down of earth from Lord Shiva's matted hair. The ""madhu"" was so sweet that the place where it fell came to be known as Madhurapuri, which in course of time became ""Madurai."" 

                  Tamil and Greek documents record its existence from the 4th century B.C. Being in the heart of Tamil Nadu, Madurai has fostered an essentially Dravidian and Tamil culture. Famous for its cultural and scholarly pursuits, the city had an academy consisting of critics, poets and savants highly esteemed both by kings and commoners. It was in Madurai that three successful conferences of Tamil scholars called sangams flourished under benevolent royal support. 

                  Madurai is famous for housing one of the five traditional dance halls where Lord Siva, in his form as the Silver Hall or the Velli Ambalam. It is situated within the Meenakshi Temple. 

                  Madurai was the capital of the dynasty. The Meenakshi-Sundareswarar Shrine is its central glory. The Muslims invaded Madurai in the 14th Century. Later it came under the rule of the Nayaks, and the rule of Thirumalai Nayak, who is remembered as the maker of modern Madurai, was an eventful one. 

                  Madurai was known to be the centre of learning and pilgrimage for centuries. Today, Madurai is a modern commercial and industrial city, with a vast University campus and is renowned for its weaving mills and dyeing industry. The chungadi cotton sarees are the speciality of this city with its colourful tie and dye motifs. Handicrafts, brassware, bronze items, Jasmine and the famous wooden toys of Madurai are some of the notable artefacts.
"
Qutb Minar,9,7,10:00 am - 05:00 pm,https://www.youtube.com/watch?v=BSIz-jviTME,
Akshardham,321,24,09:30 am - 06:30 pm,www.youtube.com/watch?v=tmT-O-meA_s,
Amer Fort,853,24,08:00 am - 05:30 pm,www.youtube.com/watch?v=Bjb7nfrBJlM,
City Palace,424,13,09:00 am - 09:00 pm,www.youtube.com/watch?v=Pu8oKevmRWE,
Lotus Temple,260,33,09:30 am -  05:30 pm,www.youtube.com/watch?v=t_diMEasVOA,
Meenakshi Amman Temple,874,36,04:00 am -  08:30 pm,www.youtube.com/watch?v=RGHZ5wou7VA,
City Palace,431,24,09:30 am - 06:45pm,www.youtube.com/watch?v=2YYAYAxUQuI,
Gateway of India,583,7,10:00 am - 06:00 pm,www.youtube.com/watch?v=VRrnZBUGS2E,
Siddhivinayak Temple,82,19,06:00 am - 08:00pm,www.youtube.com/watch?v=_KigZ2swEwc,
Mysore Palace,534,16,10:00 am - 05:30 pm,www.youtube.com/watch?v=O_mYaFo1WlE,
Brihadeeswarar Temple,190,13,06:00 am - 09:00 pm,www.youtube.com/watch?v=x0l1E143Leg,
Mehrangarh Fort,173,25,09:00 hrs - 17:00 hrs,www.youtube.com/watch?v=OsCqN2GOdxQ,
Golkonda,9,7,09:00 am - 05:30 pm,www.youtube.com/watch?v=ZciUB5SxreI,
Lal Bagh,321,24,06:00 am - 07:00 pm,www.youtube.com/watch?v=59batVrI8h4,
Charminar,853,24,09:30 am - 05:30 pm,www.youtube.com/watch?v=OYKjrtoZaYc,
Mahabodhi Temple,424,13,05:00 am - 09:00 pm,www.youtube.com/watch?v=kMzKg6fFC38,
Konark Sun Temple,260,33,06:00 am - 08:00 pm,www.youtube.com/watch?v=1yQf2EChaAI,
Nehru Zoological Park,874,36,08:30 am - 05:00 pm,www.youtube.com/watch?v=1IPiDStaZTs,
Victoria Memorial,431,24,09:00 am - 06:00 pm,www.youtube.com/watch?v=C_0IvslcRqU,
Vaishno Devi,583,7,08:30 am - 05:00 pm,www.youtube.com/watch?v=fbq4BGlqAGM,
Tirumala Venkateswara Temple,82,19,06:00 am - 07:00 pm,www.youtube.com/watch?v=9jnL3wdQYR4,
Gir Forest National Park,534,16,09:00 hrs - 17:00 hrs,www.youtube.com/watch?v=2cMBM4Xi5Zc,
Thekkady,190,13,09:00 am -  09:00 pm,www.youtube.com/watch?v=Db0bEOmqBqw,
Mayajaal,173,25,09:00 am - 09:00 pm,,
