Spot_name,City,State,Timings,Video link
Viralimalai Sanctuary,2,25,07:00 am - 08:00 pm,https://www.youtube.com/embed/xQ7GTbWqAbc
Sri Ranganathaswami Temple,2,25,5:00 am - 09:00 pm,https://www.youtube.com/embed/VFLusx3wY8I
Bannerghatta National Park,5,19,09:30 am - 06:30 pm,https://www.youtube.com/embed/D6EDJA1bO3s
Mysore Palace,6,19,10:00 am – 5:30 pm,https://www.youtube.com/embed/0J6omhJVUEI
Mysore Zoo,6,19, 8:30 am – 5:30 pm,https://www.youtube.com/embed/e0e_88M-130
Brindavan Gardens,6,19,05:30 am -  09:00 pm,https://www.youtube.com/embed/X4tmdwRY2GY
Meenakshi Amman Temple,3,25,04:00 am -  08:30 pm,https://www.youtube.com/embed/RGHZ5wou7VA
Kadri Manjunath Temple,7,19,09:30 am - 06:45pm,https://www.youtube.com/embed/c3y9luwQ3K0
Tannirbhavi Beach,7,19,NA,https://www.youtube.com/embed/V_hGdi38TPE
Siddhivinayak Temple,17,16,06:00 am - 08:00pm,https://www.youtube.com/embed/LlyACdAU27A
Brihadeeswarar Temple,34,25,06:00 am - 09:00 pm,https://www.youtube.com/embed/lQrFY4r9uDc
Paravur Lake,58,13,NA,https://www.youtube.com/embed/5PyByG77ZQs
Golkonda,12,2,09:00 am - 05:30 pm,https://www.youtube.com/embed/ZciUB5SxreI
Lal Bagh,5,19,05:00 am - 08:30 pm,https://www.youtube.com/embed/_aWjiHmPtGo
Charminar,12,2,09:30 am - 05:30 pm,https://www.youtube.com/embed/OYKjrtoZaYc
Padmanabhaswamy Temple,14,13,05:00 am - 09:00 pm,https://www.youtube.com/embed/lliy2YdSNXQ
Thiruvananthapuram Zoo,14,13,06:00 am - 08:00 pm,https://www.youtube.com/embed/0iewQ_-fvfo
Nehru Zoological Park,874,36,08:30 am - 05:00 pm,https://www.youtube.com/embed/1IPiDStaZTs
Gateway of India,17,16,09:00 am - 06:00 pm,https://www.youtube.com/embed/_KigZ2swEwc
Napier Museum,14,13,08:30 am - 05:00 pm,https://www.youtube.com/embed/HbWM9HwSVE8
Elephanta Caves,17,16,06:00 am - 07:00 pm,https://www.youtube.com/embed/lYvvLRcyK4o
Kanheri Caves,17,16,09:00 hrs - 17:00 hrs,https://www.youtube.com/embed/E6ewEoSc6vY
Thekkady,62,13,09:00 am -  09:00 pm,https://www.youtube.com/embed/Db0bEOmqBqw
