Spot_name,City Code,Timings,Video link
Anamalai Wildlife Sanctuary,1,"Working hours (06.00AM - 05.00 PM ), vehicle is not allowed there.",
Fort St. George,2,Working hours (09.00AM - 05.00 PM ) & Full day Closed on Friday.,
Marina Beach,2,Working hours (04.00AM - 10.00 PM ) & All days are working days.,
Santhome Cathedral Basilica,2,Working hours (06.00AM - 09.00 PM ) & All days are working days.,
Vivekananda & MGR Memorial,2,Working hours (10.00AM - 12.00 PM & 03.00 PM - 07.00 PM ) & Full day Closed on Monday.,
Fort Museum,2,Working hours (09.00AM - 05.00 PM ) & Full day Closed on Friday.,
Kapleeswarar Temple,2,Working hours (05.00AM - 12.00 PM  & 04.00PM - 08.00 PM ) & all days are working days.,
St. Thomas Mount,2,Working hours (06.00AM - 07.00 PM ) & All days are working days.,
Ripon Building,2,On the way visit. Visitors are not allowed inside the building.,
Light House ,2,Working hours (10.00 AM - 5.00 PM)  & Full day Closed  Monday ,
Snake Park,2,Working hours (09.00 AM - 05.00 PM )  &  Full day closed on Tues Day.,
Crocodile Park,2,Working hours (09.30 - 05.00 PM ) & Full day Closed on Monday (50kms away from city & we can suggest if they are going from Chennai to  Mahabalipuram.,
Chidambaram Natraja Temple,3,Working hours (06.00 AM - 12.00 PM & 05.00 PM - 10.00 PM).,
Vaithiswaran Temple,3,Working hours (06.00 AM - 01.00 PM & 04.00 PM - 09.00 PM).,
Nagore,3,Working hours (04.30 AM - 07.00 AM & 06.30 PM - 10.00 PM / 12.00 PM - 03.00 PM On Friday only). ,
Gangai Konda Cholapuram,3,Working hours (06.00AM - 12.00 PM & 04.00 PM - 08.00 PM).,
Kuttralam,4,Working hours (09.00 AM - 05.00 PM) & All days are working days.,
Dhyanalinga Temple,4,Working hours (06.00 AM - 08.00 PM) & All days are working days.,
Thirukutralanathar Temple,5,Working hours (09.00 AM - 12.00 PM & 05.00 PM - 09.00 PM ).,
Chitra Sabha,5,Working hours (07.00 AM - 12.00 PM  & 04.30 PM - 07.30 PM).,
Peraruvi ( main falls),5,Working hours (09.00 AM - 05.00 PM ).  ,
Chitraruvi (Small falls),5,Working hours (09.00 AM - 05.00 PM ).  ,
Thenaruvi (Honey falls),5,Working hours (09.00 AM - 05.00 PM ).  ,
Aintharuvi (Five falls),5,Working hours (09.00 AM - 05.00 PM ).  ,
Old Courtallam falls,5,Working hours (09.00 AM - 05.00 PM ).  ,
The Artificial Puli Aruvi (Tiger falls),5,Working hours (09.00 AM - 05.00 PM ).  ,
Lignite Mines at Neyveli,6,Visitors are not allowed inside the campus.,
Silver Beach - Devanampattinam,6,Visitors time - (04.00 AM - 10.00 PM in all  days.,
Port Novo,6,Visitors time - (07.00 AM - 07.00 PM in all days.,
Vallar temple,6,Visiting time (06.00 AM - 12.00 PM  & 02.00 PM - 06.00 PM ) available in all days.,
Hogenakkal,7,Visitors time - (07.00 AM - 07.00 PM in all  days.,
Theerthamalai,7,Visitors time - (07.00 AM - 07.00 PM in all  days.,
Kodumudi,8,Visitors time - (04.00 AM - 12.00 PM & 04.00- 09.00 PM) in all days.,
Bhavani,8,Visitors time - (07.00 AM -  07.00 PM) all days are working days.,
Bannari Amman temple,8,Visitors time - (06.00 AM - 12.00 PM & 04.00- 09.00 PM) in all days.,
Kodiveri Dam,8,Visitors time - (07.00 AM -  07.00 PM) all days are working days.,
Kailasanathar Temple,9,Opening time - (06.00 AM - 12.00 PM & 04.00 PM - 08.00 PM ) all days temple will be open.,
Varadaraja Temple,9,Opening time - (07.30 AM - 12.30 PM & 03.30 PM - 08.30 PM ) all days temple will be open.,
Ulaganada Perumal temple,9,Opening time - (07.00 AM - 12.00 PM & 04.00 PM - 08.00 PM ) all days temple will be open.,
Ekambareswarar temple,9,Opening time - (06.00 AM - 11.00 AM & 05.00 PM - 08.00 PM ) all days temple will be open.,
Kamakchi Amman temple,9,Opening time - (05.00 AM - 12.30 AM & 04.00 PM - 09.00 PM ) all days temple will be open.,
Kumariamman temple,10,04.30AM - 12.00 PM & 04.30 PM - 08.00 PM,
Vivekananda Memorial,10,Working hours (08.00 AM - 04.00 PM),
Tiruvalluvar statue,10,We can visit 06.00 AM - 07.00 PM,
Gandhi Memorial,10,Working hours (07.00 AM - 05.00 PM),
Kamaraj Memorial,10,Working hours (07.00 AM - 05.00 PM),
Government Museum,10,Working hours (09.30 AM - 05.00 PM ) Friday & Second Saturday will be holiday.,
The Wandering Monk exhibition,10,Working hours (08.00 AM - 12.00 PM & 04.00 PM - 08.00 PM ),
Suchindram,10,Working hours (04.00 AM - 11.45 AM & 05.00 PM - 08.00 PM ),
Padmanabhapuram Palace,10,Working hours (09.00 AM - 01.00 PM & 02.00 PM - 04.30 PM )/ Monday will be Closed,
Kodai Lake,11,Working hours (09.30 AM - 05.00 PM),
Bryant's Park,11,Working hours (09.30 AM - 05.00 PM),
Coackers Walk,11,Working hours (09.30 AM - 05.00 PM),
Kurunji Andavar Temple,11,Working hours (08.00 AM - 12.0 PM & 04.30 PM - 07.00 PM),
Green Valley View,11,No Limitations ,
The Pillar Rocks,11,No Limitations ,
Silent valley view,11,No Limitations ,
Berijam Lake view,11,No Limitations ,
Chettiar Park,11,Working hours (10.00 AM - 08.00 PM),
Shenbaganur Museum,11,Working hours (10.00 AM - 11.30 AM & 03.00 PM - 05.00 PM),
Krishnagiri Dam,12,No Limitations ,
Thirunageswaram temple,13,Working hours (06.00 AM - 01.00 PM & 04.00 PM - 08.30 PM),
Suriyanar Koil,13,Working hours (06.00 AM - 12.30 PM & 04.00 PM - 08.00 PM),
Thingalur,13,Working hours (07.00 AM - 01.00 PM & 04.00 PM - 09.00 PM),
Alangudi,13,Working hours (06.00 AM - 01.00 PM & 04.00 PM - 09.00 PM),
Tirunallar,13,Working hours (06.00 AM - 01.00 PM & 04.00 PM - 09.00 PM),
Vaitheeswaran Temple,13,Working hours (06.00 AM - 01.00 PM & 04.00 PM - 09.00 PM),
Thiruvengadu,13,Working hours (06.00 AM - 12.00 PM & 04.00 PM - 09.00 PM),
Keela Perumpallam,13,Working hours (06.00 AM - 01.00 PM & 04.00 PM - 08.00 PM),
Kanjanur,13,Working hours (07.00 AM - 12.30 PM & 04.00 PM - 08.00 PM),
Sri Meenakshi Sundreswar Temple,14,Working hours (05.00 AM - 12.30 PM & 04.00 PM - 10.00 PM ; Friday will be open till 11.00 PM),
Thirumalai Nayakar Mahal,14,Working hours (09.00 AM - 01.30 PM & 02.00 PM - 08.30 PM),
Alagar Koil,14,06.00 AM - 12.30 PM & 03.30 PM - 08.00 PM,
Koodal Alagar temple,14,05.30 AM - 12.30 PM & 04.00 PM - 09.00 PM ,
Gandhi Museum,14,10.00 AM - 01.00 PM & 02.00 PM - 05.45 PM (Except Govt. Holidays the museum will be open),
Government Museum - Madurai,14,10.00 AM - 01.00 PM & 02.00 PM - 06.00 PM (Friday & Every month of 2 Saturday Monument will be closed ),
Palani,14,05.00 AM - 01.00 PM & 04.00 PM - 10.00 PM ,
Thiruparankundram,14,05.00 AM - 01.00 PM & 04.00 PM - 08.00 PM ,
Pazhamudhir cholai,14,05.00 AM - 12.00 PM & 04.00 PM - 09.00 PM,
Five Rathas ,15,Working hours 07.00AM - 05.00 PM ,
Arjuna's Penance ,15,No Limitations ,
The Shore temple,15,Working hours 07.00AM - 05.00 PM ,
Krishna's Butter Ball,15,No Limitations ,
Tiger's Cave ,15,Working hours 09.00 AM - 05.00 PM,
Light House - in Mahabalipuram,15,No Limitations ,
Mudumalai Wildlife Sanctuary,16,Working hours (07.00 AM - 09.00 AM ) & Evening (04.00 - 06.00 PM),
Nagore Dargah ,17,Working hours (04.30 AM - 07.00 AM & 06.30 PM - 10.00 PM / 12.00 PM - 03.00 PM On Friday only). ,
Thiruchengodu Arthanatheeswarar temple,18,Temple will be open on (09.00 AM - 12.00 PM & 04.00 PM - 07.00 PM),
Kolli Hills ,18,Best time to visit (09.00 AM - 04.00 PM ),
Ooty Botanical Garden ,19,Working hours (08.00 AM - 06.00 PM) ,
Rose Garden,19,Working hours (08.00 AM - 06.00 PM) ,
Lake Park,19,Working hours (08.00 AM - 06.00 PM) ,
Ooty Lake,19,Working hours (08.00 AM - 06.00 PM) ,
Deer Park,19,Working hours (09.00 AM - 05.30 PM) ,
Art Gallery/ Lalith Kala Academy,19,Working hours (10.00 AM - 01.00 PM & 02.00 PM - 05.00 PM) ,
Doddabetta,19,Best time to visit (08.00 AM - 05.00 PM ),
Pyakra Lake & Water falls,19,Best time to visit (09.30 AM - 05.00 PM ),
Kalhatty falls,19,Best time to visit (09.30 AM - 05.00 PM ),
Conoor Toy train,19,Best time to travel (09.30 AM - 06.00 PM ),
Sims Park Garden & Tea Musuem,19,Best time to visit (09.30 AM - 06.00 PM ),
Dolphine Nose View Point,19,Best time to visit (09.30 AM - 06.00 PM ),
Lam's Rock View Point,19,Best time to visit (09.30 AM - 06.00 PM ),
Palani Murugan Temple,20,05.00 AM - 01.00 PM & 04.00 PM - 10.00 PM ,
Silapathikara Art Gallery,21,Best time to visit (09.00 AM - 07.00 PM ),
Elanchi Mandaram,21,Best time to visit (09.00 AM - 07.00 PM ),
Avur Church,22,Best time to visit (09.00 AM - 07.00 PM ),
Kunnandar Koil,22,10.00 AM - 05.00 PM,
Thirumayam,22,Morning (09.00 AM - 12.00 PM & Evening 04.00 PM - 07.00 PM ),
Marthamalai,22,Morning (09.00 AM - 12.00 PM & Evening 04.00 PM - 07.00 PM ),
Viralimalai,22,Morning (09.00 AM - 01.00 PM & Evening 04.00 PM - 07.00 PM ),
Sittanavasal,22,Morning 09.00 AM - 03.00 PM ,
Government Museum,22,Morning (09.00 AM - 01.00 PM & 03.00 PM - 05.00 PM )/ Friday & second saurday of Month will be holiday.,
Sri Ramanathaswamy Temple,23,(Morning 05.00 AM - 01.00 PM & Evening 03.00 PM - 09.00 PM),
Agnitheertham,23,No Limitations ,
Gandamadana Parvatham,23,No Limitations ,
Sugreevar temple/ theertham,23,(Morning 06.00 AM - 12.00 PM & Evening 04.00 PM - 07.00 PM),
Satchi Hanuman temple,23,(Morning 06.00 AM - 12.00 PM & Evening 04.00 PM - 07.00 PM),
The Five- faced Hanuman temple ,23,(Morning 06.00 AM - 12.00 PM & Evening 04.00 PM - 07.00 PM),
Jada theertham,23,(Morning 06.00 AM - 12.00 PM & Evening 04.00 PM - 07.00 PM),
Nambu Nayagiamman temple,23,(Morning 06.00 AM - 12.00 PM & Evening 04.00 PM - 07.00 PM),
Kothandaramasamy Temple,23,(Morning 06.00 AM - 12.00 PM & Evening 04.00 PM - 07.00 PM),
Dhanushkodi,23,No Limitations ,
Villoondi theertham,23,No Limitations ,
Pamban Rail Scissors Bridge ,23,No Limitations ,
Ramanathapuram,23,No Limitations ,
Mettur Dam,24,No Limitations ,
Pilliarpatti,25,(Morning 05.00 AM - 12.00 PM & Evening 04.00 PM - 08.00 PM),
Kundrakudi,25,(Morning 05.00 AM - 12.00 PM & Evening 04.00 PM - 08.00 PM),
Karaikudi ,25,(Morning 05.00 AM - 12.00 PM & Evening 04.00 PM - 08.00 PM),
Chettinad,25,No Limitations ,
Thirupathur,25,(Morning 05.00 AM - 12.00 PM & Evening 04.00 PM - 08.00 PM),
Swamimalai,26,(Morning 05.00 AM - 12.00 PM & Evening 04.00 PM - 09.00 PM),
Sri Brahadeeswarar temple,27,(Morning 06.00 AM - 12.30 PM & Evening 04.00 PM - 09.00 PM),
The Palace,27,Morning 09.00 AM -05.30 PM,
Art Gallery ,27,Morning 09.00 AM -01.00 PM & 03.00 PM - 06.00 PM  ,
Saraswathi Mahal Library,27,Morning 10.00 AM - 01.00 PM & 01.30 PM - 05.30 PM,
Sangeetha Mahal or The Hall of Music,27,Visiting Hours (10.00 AM - 05.30 PM),
Royal Museum & Serfoji Memorial Hall,27,Visiting Hours (10.00 AM - 05.30 PM),
Maratha Durbar Hall,27,Visiting Hours (10.00 AM - 05.30 PM),
Sharajah Madi,27,Visiting Hours (10.00 AM - 05.30 PM),
Devadanapatti,28,Morning 09.00 AM - 12.00 PM  & Evening 04.00 PM - 08.00 PM,
Balasubramanya temple,28,Morning 09.00 AM - 12.00 PM  & Evening 04.00 PM - 08.00 PM,
Kumbakkarai falls,28,Visiting Hours (09.00 AM - 04.00 PM),
Kuchanur,28,Morning 09.00 AM - 12.00 PM  & Evening 04.00 PM - 08.00 PM,
Veerapandi Gowmariamman temple,28,Morning 09.00 AM - 12.00 PM  & Evening 04.00 PM - 08.00 PM,
Thiruchendur Murugan Temple,29,Morning 05.00 AM - 12.00 PM  & Evening 04.00 PM - 09.00 PM,
Thiruthani Murugan Temple,30,Morning 05.00 AM - 12.00 PM  & Evening 04.00 PM - 09.00 PM,
Thiruvanamalai Arunachaleswara temple,31,Morning 05.00 AM - 12.00 PM  & Evening 04.00 PM - 07.00 PM,
Ramana Ashram,31,Visiting hours (09.00 AM - 05.00 PM ),
Thiruvarur temple,32,Morning 04.00 - 01.00 PM & Evening 04.00 PM - 10.00 PM,
Sankara Rameshwara Temple (Lord Shiva temple),33,Morning 09.00 AM - 12.00 PM  & Evening 04.00 PM - 07.00 PM,
Church of our lady of Snow,33,Morning 09.00 AM - 01.00 PM & Evening 02.00 PM - 05.00 PM,
Nellaiappar Temple,34,Morning 09.00 AM - 12.00 PM  & Evening 04.00 PM - 09.00 PM,
Mundanthurai - Kalakad Wildlife Sanctuary,34,Visiting hours (06.00 AM - 06.00 PM),
Rockfort ,35,Morning 09.00 AM - 12.00 PM  & Evening 04.00 PM - 08.00 PM,
Sri Rangam,35,"Visiting Hours (06.00 AM - 07.00 AM , 08.30 AM - 01.00 PM , 02.00 - 05.30 PM & 07.00 PM - 08.00 PM",
Thirvanaikkaval,35,Morning 09.00 AM - 12.00 PM  & Evening 04.00 PM - 09.00 PM,
Samayapuram Mariamman temple,35,Morning 09.00 AM - 12.00 PM  & Evening 04.00 PM - 10.00 PM,
Velankanni Mary's Church,36,Visiting hours (06.30 AM - 08.00 PM),
Vellore Fort,37,Visiting Hours (09.00 AM - 07.00 PM),
Jalagandeswarar temple,37,Shine opening time (06.00 AM - 12.00 PM & 04.00 PM - 07.00 PM),
Sripuram Golden Temple,37,working time (04.00 AM - 12.00 PM & 04.00 PM - 08.00 PM),
Virudhunagar,38,Visiting Hours (09.00 AM - 05.00 PM),
Punganur lake in yelagiri,39,Visiting Hours (09.00 AM - 05.00 PM),
Government Fruit Farm,39,Visiting Hours (09.00 AM - 05.00 PM),
Government Herbal Farm,39,Visiting Hours (09.00 AM - 05.00 PM),
yercaud Lake,40,Visiting Hours (09.00 AM - 05.00 PM),
Lady's Seat,40,Visiting Hours (09.00 AM - 05.00 PM),
Sri Aurobindo Ashram,43,visiting Hours (07.00 AM - 02.00 PM ) & (04.00 PM - 08.00 PM),
Auroville,43,Visiting Hours (09.00 AM - 01.00 PM ) & (03.00 PM - 05.00 PM),
Promenade Beach,43,No Limitations ,
Basilica of the Sacred Heart Of Jesus,43,Visiting Hours (06.00 AM - 08.00 PM),
Botanical Garden in Pondicherry,43,Visiting Hours (10.00 AM - 05.00 PM ),
French War Memorial,43,No Limitations ,
Pondicherry Museum,43,Visiting Hours (10.00 AM - 05.00 PM ) & Friday will be Holiday ,
Manakula Vinayagar Temple,43,Visisting Hours (06.00 AM - 12.00 PM ) & (04.00 PM - 08.00 PM),
Alleppey Beach,44,Morning 04.30 AM - Evening 09.30 PM,
Backwater Cruise ,44,Morning (10.00 AM -evening 05.00 PM),
Athirappalli Waterfalls,45,Morning 08.00 AM - Evening 06.00 PM,
Cherai Beach,46,Morning 09.00 AM - Evening 06.00 PM,
Santa Cruz Basilica in Cochin,47,Weekdays (Morning 07.00 AM -06.30 PM ) & Weekend ( 08.00 AM - 06.30 PM),
Dutch Palace (Mattancherry Palace),47,Best time to visit ( Morning 10.00 AM - 05.00 PM),
Jewish Synagogue and Jew town,47,"Best time to visit ( Morning 10.00 AM - 05.00 PM), Full day closed on Friday & Saturday",
St. Francis Church,47,Week days (07.00 AM - 06.30 PM) & Sunday (08.30 AM - 06.30 PM),
Fort Kochi Beach,47,we can visit Until 7PM ,
Kollam Beach,48,we can visit Until 7PM ,
Hawah Beach,49,we can visit Until 7PM ,
Pazhassiraja Museum & Art Gallery,50,Morning (09.00 AM - 01.00 PM & (02.00 PM - 04.30 PM ) / Monday & Govt. Holidays will be Holiday,
Kozhikode Beach,50,we can visit Until 7PM ,
Kumarakom Bird Sanctuary,51,Morning 06.30 AM - 05.00 PM,
Vembanad Lake,51,10.00 AM - 06.00 PM,
Mattupatti Dam,52,Morning 09.30 AM - 05.00 PM,
Echo Point,52,06.00 AM - 07.30 PM,
Eravikulam National Park,52,Best time to visit (08.00 AM - 04.30 PM) & Closure Period: February & March,
Tea Museum,52,"08.30 AM - 04.30 PM, Monday will be closed",
Flower Garden,52,Morning 09.00 AM -06.00 PM,
Blossom Park,52,Morning 09.00 AM -07.00 PM,
Photo Point,52,Morning 07.00 AM Until 07.00 PM,
Poovar Beach,53,We can enjoy Until 07.00 PM,
Plantation Tour,54,Morning 08.00 AM - Evening 06.00 PM,
Trekking ,54,(Morning 07.30 AM -05.00 PM),
Elephant ride ,54,Morning 08.00 AM - Evening 07.00 PM,
Guruvayoor Temple,55,Morning (4.030AM-01.30PM) & Evening (4.30AM -9.00PM),
Sri Padmanabhaswamy Temple,56,Morning (03.30 AM - 12.00 PM) & Evening (05.00 PM - 07.20 PM ) ,
Kuthiramalika Palace Museum,56,Morning (08.30 AM - 01.00 PM) & Evening (03.00 PM - 05.30 PM ) / Closed on Monday,
The Napier Museum,56,(Tuesday& Thursday - Sunday => 10.00 AM - 05.00 PM )/ Wednesday - 01.00 PM - 04.45 PM/ Monday will be Holiday,
Janardana Swamy temple,57,Morning (05.00 AM - 12.00 PM) & Evening (04.30 PM - 06.00 PM),
Papanasam Beach,57,We can enjoy Until 07.00 PM,
Meenmutty waterfalls ,58,We can enjoy Until 07.00 PM,
Durga temple in Aihole,59,Morning 06.00 AM - Evening 05.30 PM,
Lad Khan temple,59,Morning 06.00 AM - Evening 05.30 PM,
Meguti Jain temple ,59,Morning 06.00 AM - Evening 06.00 PM,
Gowda Temple,59,Morning 06.00 AM - Evening 05.30 PM,
Badami fort,60,Morning 06.00 AM - Evening 06.00 PM,
Bandipur National Park,61,06.00 AM - 08.00 PM / Safari Timing (03.00 PM - 05.00 PM),
Banglore Palace,62,Morning 10.00 AM - Evening 05.30 PM,
Lalbagh Botanical Garden,62,Morning 06.00 AM - Evening 07.00 PM,
Tipu Sultan Fort,62,Morning 08.30 AM - Evening 05.30 PM,
Vidhana Soudha,62,Morning 09.00 AM - Evening 05.00 PM / Saturday and Sunday will be holiday,
ISKCON temple,62,Morning 07.15 AM - 01.15 PM / 04.15 PM - 08.30 PM,
Bull temple,62,Morning 06.00 AM - 12.00 PM / 05.30 PM - 09.00 PM,
Government Museum,62,Morning 10.00 AM - Evening 05.00 PM/ Monday will be Holiday,
Belgaum Fort,63,Morning 08.00 AM - 06.30 PM,
Bellary Fort,64,Morning 08.00 AM - 06.30 PM,
Abbi Falls,65,Morning 09.00 AM - 05.00 PM,
Omkareshwara Temple,65,Morning 05.00 AM - 03.50 PM/ 04.15 PM - 05.00 PM,
Raja's Seat,65,Morning 05.30 AM - Evening 08.00 PM,
Kavala Caves ,66,Morning 10.00 AM - Evening 05.00 PM,
Syntheri Rock,66,Morning 10.00 AM - Evening 05.00 PM,
Vittala Temple,67,Morning 08.30 AM - Evening 05.00 PM,
Virupaksha Temple,67,Morning 09.00 AM - 01.00 PM & Evening 05.00 PM- 09.00 PM,
Utsav Rock Garden,68,Morning 09.30 AM - Evening 06.30 PM,
Yana,68,Morning 10.00 AM - Evening 05.00 PM,
Kabini River,69,Morning 08.00 AM - Evening 06.00 PM,
The Kabini Dam,69,Morning 08.00 AM - Evening 06.00 PM,
Nagarhole,69,Morning 06.00 AM - 09.00 AM & Evening 04.00 PM - 06.30 PM,
Kodachadri,70,Morning 08.00 AM - Evening 06.00 PM,
Manglore ,71,Morning 08.00 AM - Evening 06.00 PM,
Mysore Palace,72,Morning 10.00 AM - Evening 05.30 PM,
Brindavan Garden,72,Garden opening time (06.00 AM - 08.00 PM) / Fountain show from Monday  to Friday (06.30 PM- 07.30PM)/ Sat & Sun (06.30PM - 08.30PM) . For Lighting show (07.00 PM - 08.00 PM),
Chamundeeswarai amman temple,72,Morning (07.30 AM - 02.00 PM) / After noon (03.30 PM - 06.00 PM ) & Evening (07.30 PM - 09.00 PM),
Mysore Zoo,72,"Morning 08.30 AM - 05.30 PM, Tuesday will be closed",
St. Philomena's Church,72,Morning 05.00 AM - Evening 06.00 PM,
Shravanabelagola,73,Morning 07.00 AM - Evening 09.00 PM,
Sacred Heart Church in Shimoga,74,Morning 07.00 AM - Evening 07.00 PM,
Shivappa Nayaka Palace/ Museum,74,Morning 09.00 AM - Evening 05.00 PM,
Bhadra Dam,74,Morning 09.00 AM - Evening 05.00 PM,
Bhadravathi,74,Morning 09.00 AM - Evening 05.00 PM,
Gajanur Dam,74,Morning 09.00 AM - Evening 05.00 PM,
Koodali River,74,Morning 09.00 AM - Evening 05.00 PM,
Dharmavaram in Anantapur,75,Morning 09.00 AM - Evening 05.00 PM,
ISKCON temple in Anantapur,75,Morning 04.30 AM - 12.30 PM &  Evening 06.00 PM - 09.00 PM,
Lepakshi,75,Morning 05.00 AM - Evening 09.00 PM,
Tadipatri ,75,Morning 08.00 AM - 06.30 PM,
Puttaparthi Sathya Sai Baba Temple,75,Morning 05.00 AM - Evening 08.00 PM,
Bhadrachalam,76,Morning 09.00 AM - 06.00 PM,
Belum Caves ,77,Morning 10.00 AM - 05.00 PM,
Mahanandi,77,Morning 06.00 AM - 07.30 PM,
Mantralayam,77,Morning 06.00 AM - 02.00 PM & Evening (04.00 PM - 09.00 PM),
Ahobilam,77,Morning 06.00 AM - 12.30 PM &  Evening 05.00 PM - 08.00 PM,
Oravakallu,77,Morning 10.00 AM - 05.00 PM,
Yaganti Shiva temple,77,Morning 06.00 AM - 07.30 PM,
Rollapadu Sanctuary,77,Morning 07.00 AM - 06.00 PM,
Dindi,78,Morning 10.00 AM - 05.00 PM,
ISKCON Temple in Rajahmundry,78,Morning 04.30 AM - 01.00 PM &  Evening 04.30 PM - 08.30 PM,
Markendaya temple,78,Morning 06.00 AM - 07.30 PM,
Kotilingeswara temple,78,Morning 05.00 AM - 01.00 PM & Evening 04.00 PM 07.30 PM,
Godavari River,78,Morning 10.00 AM - 05.00 PM,
Srisailam Malikarjun temple,79,Morning 05.00 AM - 03.30 PM & Evening (06.00 PM - 10.00 PM),
Tirumala Venkateswara Swany temple,80,Morning 04.30 AM-  Evening 10.00 PM,
Goddess Alamelumangai temple,80,05.00 AM-  09.00 PM,
Kanipakam,80,Morning 04.00 AM - 02.30 PM & Evening (03.30 PM - 10.00 PM),
Srikalkasthi temple,80,06.00 AM-  08.00 PM,
Chandragiri Fort,80,10.00 AM-  08.45 PM,
Kanaka Durga temple,81,04.00 AM - 05.45 PM & 06.15 PM - 10.00 PM,
Amaravati (Museum With Buddish Settlement),81,10.00 PM - 05.00 PM/ Museum Friday will be closed,
Bhavani island,81,10.00 AM - 05.00 PM,
